0;36;1352;1568;1806;34;15;10;0;0;366;104;2217;116;219;710;0;499;0;2;227;0;198;21;4385;387;561;254;130
648;113;4726;458;8673;1783;1395;2508;424;1121;7;2898;696;3168;8741;381;4849;5314;525;1;0;1114;2924;6064;116;4162;0;3069;0
71;3352;76;7188;2123;389;1075;526;11;0;906;967;13826;261;1395;9741;1090;915;201;753;365;953;12345;520;8464;2494;2969;680;45
3578;1866;2860;5740;28255;1423;11662;1988;264;1274;6550;18748;6447;9828;25847;7725;20476;19312;11926;7;2008;13917;10402;20417;12157;22814;2129;5992;3
1;2167;1395;34360;12554;1512;950;5912;841;34;798;5244;21244;501;3947;21579;2229;6456;4420;734;2367;4752;3641;5482;17587;5274;6774;1468;200
0;3257;6;9642;879;176;0;706;28;4;216;43;2585;11;902;19557;857;76;44;3;442;0;57;224;2705;25;66;57;117
0;2540;28;4351;329;34;0;18;28;0;1244;1812;3402;22;1206;4032;50;221;1;6;998;392;395;25;2722;48;2028;1081;3050
234;1049;204;4620;214;1;0;29;4;0;337;1269;12484;0;99;5686;64;52;12;2;1367;0;23;0;9812;13;1676;53;57
0;1130;493;2220;109;1;0;0;65;0;6434;282;3265;0;662;1745;24;162;0;15;692;171;925;7;6108;25;7;348;94
2;39;0;145;619;0;0;0;4;594;0;0;1075;8;534;756;67;14;2;289;6;0;291;11;874;125;39;0;2
1100;0;0;0;18818;0;1;2391;0;113;0;11001;0;1204;6063;0;2660;2729;0;0;0;0;2018;4775;1;5679;0;9239;0
217;1523;934;6005;132;150;36;3748;592;0;3954;628;11440;1;1816;29872;72;3341;1;144;1836;21;5250;783;7643;11004;66;112;148
2983;435;21793;524;39624;3985;4464;17365;2191;1238;0;23759;79;5096;36203;53;21464;17581;3247;1;0;7180;6681;12579;1274;21867;2;3007;73
0;2565;2;3032;15;0;31;0;15;7;971;794;3790;479;325;6280;88;381;0;108;45;0;6472;1535;1881;312;6;1;28
5;2546;5942;28839;122;6081;115;1312;790;873;1028;2232;10573;28394;800;25230;15;3918;13;192;844;79;1290;188;7863;13469;0;6158;117
711;59;35264;2077;39702;24777;589;3804;6117;2289;0;23216;198;34771;32723;1447;21120;14452;1774;1;45;277;12097;13456;2533;43029;36;9498;0
5;5965;4389;18946;118;4532;1129;1268;275;210;4656;3951;25737;3250;563;25086;1722;4805;41;1324;2203;474;14503;798;17298;661;1;3373;32
0;4631;35;14319;2056;3746;0;3027;8;0;549;609;7155;5;3122;22221;213;424;3474;329;2206;0;844;2;4605;305;101;67;1232
0;3679;354;2583;178;0;0;209;0;0;87;1;4108;0;1354;9286;1132;2193;31;0;355;89;88;0;864;2;0;53;109
0;145;37;23;58;13;69;2;136;33;0;329;30;16;27;562;103;12;27;0;0;45;148;9;3;6;0;37;8
32;254;0;552;4766;0;0;602;0;3;49;972;6775;571;3409;2877;9732;1260;4;32;311;0;14618;1695;9961;1532;1675;1071;0
0;3926;96;3910;483;107;2;21;1;0;983;85;5012;127;188;6142;386;144;187;0;446;41;1411;78;6134;428;500;107;828
1;4469;1518;18196;2781;54;6;50;226;14;1937;6520;14179;160;1331;24470;4032;1621;33;20;1323;0;5012;404;19131;7592;2883;686;399
16;3208;22;17761;5;86;33;1912;262;195;5600;496;12153;1;2443;19981;142;304;68;304;1832;8;2482;2018;14466;568;578;119;100
6376;506;11075;10043;34528;3326;9219;1876;587;1379;6469;10599;3400;4237;23166;17604;26298;9420;4256;541;147;8918;8316;12370;9929;18220;191;2894;61
4;4596;4075;24051;5576;30;236;49;50;67;2416;1047;20353;716;2524;22854;160;295;0;7749;4666;8578;45329;23;16531;186;1050;14;3521
0;0;0;0;3167;0;1769;351;29;3;0;761;0;526;2025;0;17879;1014;99;0;0;803;7842;217;0;20038;0;1679;0
0;1939;7;3759;39;5;0;426;5;0;1024;10;3821;12;365;16440;288;134;32;31;102;0;196;342;2113;111;185;497;1027
4;4930;6;468;518;9;0;45;0;1;0;6;3541;32;221;438;4103;118;1;4;1063;0;428;5;1517;141;2225;8;86
