9;346;97;724;3071;40;9;762;0;219;24;212;712;362;2474;1053;2181;96;18;70;75;35;124;638;797;739;1;61;6
6;1519;1834;6221;2037;1604;296;808;544;31;476;921;3465;421;2258;9263;276;2612;798;279;892;370;4270;347;4802;3167;1369;610;335
512;2231;4644;5795;6270;103;297;1786;89;674;761;2219;2931;2264;6906;5100;5611;2421;98;82;760;663;1676;783;2958;7127;1057;864;49
657;7661;3985;24295;18412;2269;2725;4662;286;396;1265;15040;15798;6096;5913;24616;4692;4341;1565;1499;1802;2399;15204;4063;19619;8629;1891;3834;2080
715;2539;5396;15845;3102;1143;3838;1892;322;1373;812;8847;10384;2126;9645;20956;17359;7433;4789;91;2171;4466;3547;10305;7457;5227;207;1021;176
5;114;3080;448;6270;266;1537;361;91;228;80;1403;1449;946;6372;1458;2416;529;78;4;7;733;1693;2079;913;2810;60;724;11
0;1737;335;1860;1947;47;265;346;38;8;117;1624;3103;637;3764;1515;3844;1149;324;1;573;556;826;1490;609;460;15;457;0
88;42;4298;315;2519;68;2;26;50;231;12;3862;104;1309;8022;1073;4127;249;454;204;3;130;868;448;80;205;258;1836;0
62;49;1624;536;5392;363;1321;294;194;34;45;1423;427;734;2173;1095;789;609;34;2;2;72;1074;896;794;1340;107;230;2
212;17;34;517;61;11;101;27;5;0;0;10;205;62;1444;554;137;120;263;276;0;0;169;18;597;88;1;34;21
26;1361;1356;4491;5567;255;154;824;101;103;449;815;4277;447;2032;9707;260;739;1228;24;1031;1642;2413;823;4375;1705;2309;444;168
583;431;2542;2454;5872;2077;405;4090;212;183;185;2049;1407;1539;13810;4192;7815;5425;874;207;52;1124;11120;423;2201;6208;438;1146;40
451;8279;5148;15010;4137;9420;707;6882;1299;355;6874;2199;21307;4310;5111;25429;1446;3940;1183;593;1612;642;15701;1291;19853;6125;1483;5871;1010
420;562;1098;1213;2239;222;273;1572;7;0;3;1532;843;888;1806;1934;581;495;1;27;1;10;560;109;1944;3387;0;38;3
774;1491;4462;3972;2611;2697;503;1799;856;2507;299;10159;4384;10153;890;10526;2865;5017;717;190;55;1867;10261;5994;1851;16029;210;3024;62
772;3831;3495;20711;7567;1908;1111;3075;650;277;4054;4372;16609;11819;4874;43241;1581;6725;3439;6348;1695;10730;24667;4057;13947;10789;7332;2525;932
829;1840;3826;5656;8022;2515;1843;4698;1316;492;647;10392;5039;8634;5654;7722;1738;9666;2659;131;1105;3186;4893;5213;5410;13705;17;7350;29
87;547;4617;2784;2979;1316;326;1804;2706;16;43;6492;3814;4963;10373;7816;7123;380;268;249;27;109;1997;1258;746;1294;112;2384;0
0;33;1552;1530;2654;11;2;67;465;0;1;894;428;264;3455;1319;3128;1348;22;0;3;53;231;4153;318;917;9;429;4
0;2;142;22;81;11;0;2;3;12;0;3;15;426;22;23;23;12;2;1;0;20;30;6;39;11;4;20;1
1064;659;1108;5022;9111;1567;853;424;259;45;335;3990;1334;1472;2266;4502;4975;4470;207;16;214;339;1644;1154;1792;8842;2374;1004;132
0;256;530;807;5649;548;57;469;398;97;18;1628;724;1417;2335;1626;5913;1292;18;1;32;6;720;1121;221;3262;3;520;0
409;1849;1252;9992;8154;762;1704;730;70;128;67;4195;7986;8825;11940;4353;10625;2822;1534;210;736;8328;1892;3089;4402;3376;198;1383;1139
568;758;6379;1245;11619;917;1854;3050;473;55;10;2411;3679;2184;10517;4724;3717;3697;663;198;286;1976;5941;1336;3515;8211;407;531;15
2429;7162;9179;23946;16534;1398;3226;2068;306;1128;4053;7299;29380;10792;9082;21955;3017;5367;1044;1033;4575;1670;14441;3988;15855;8709;1740;3182;2800
422;4594;4850;16071;7168;1080;1596;1817;1268;130;520;9854;12867;4915;7959;16790;5787;6857;2971;64;2380;3883;2862;8335;6877;5727;982;4561;105
0;2283;3;10676;0;1;0;236;0;3;1187;4;14525;10;156;12591;25;7;20;295;1984;0;4513;321;8422;46;1;32;286
8;110;333;788;1130;454;715;997;18;39;2;835;535;486;5735;1783;2439;1387;28;72;36;61;2996;99;264;2934;11;355;0
406;134;1432;235;2858;248;1151;262;59;15;12;2457;207;489;966;458;1134;1397;169;2;14;355;265;858;45;1415;24;527;6
